Column Letter,Original Question/Intent/category,New Name,Construct,Code
AR,"When stressed, I focus on calming or seek awe experiences for relief.",trigger_phys_8,Mindfulness,"'When stressed, I focus on calming or seek awe experiences for relief.': 'trigger_phys_8',"
AS,I listen to my body during stressful or triggering situations before responding.,trigger_phys_9,Mindfulness,"'I listen to my body during stressful or triggering situations before responding.': 'trigger_phys_9',"
AT,I believe in trusting my hunches.,trigger_interpersonal_1,Mindfulness,"'I believe in trusting my hunches.': 'trigger_interpersonal_1',"
AU,How frequently do you experience Deja Vu? ,trigger_interpersonal_2,Mindfulness,"'How frequently do you experience Deja Vu? ': 'trigger_interpersonal_2',"
AV,I prefer concrete facts over abstract theories.,trigger_interpersonal_3,Mindfulness,"'I prefer concrete facts over abstract theories.': 'trigger_interpersonal_3',"
AW,I have had the experience of suddenly knowing something to be true without being able to explain how I gained that information. ,trigger_interpersonal_4,Religiosity & Self Transendence,"'I have had the experience of suddenly knowing something to be true without being able to explain how I gained that information. ': 'trigger_interpersonal_4',"
AX,I tend to notice coincidence or synchronicities often. ,trigger_interpersonal_5,Religiosity & Self Transendence,"'I tend to notice coincidence or synchronicities often. ': 'trigger_interpersonal_5',"
AY,"When I meditate, pray, or engage in spiritual or religious practices, I feel deeply connected to something or someone greater than myself.",trigger_spiritual_1,Religiosity & Self Transendence,"'When I meditate, pray, or engage in spiritual or religious practices, I feel deeply connected to something or someone greater than myself.': 'trigger_spiritual_1',"
AZ,I believe life has a deeper meaning or purpose.,trigger_spiritual_2,Religiosity & Self Transendence,"'I believe life has a deeper meaning or purpose.': 'trigger_spiritual_2',"
BA,I consider myself highly engaged with routine spiritual practices.,trigger_spiritual_3,Religiosity & Self Transendence,"'I consider myself highly engaged with routine spiritual practices.': 'trigger_spiritual_3',"
BB,I do not consider myself religious or spiritual.,trigger_spiritual_4,Religiosity & Self Transendence,"'I do not consider myself religious or spiritual.': 'trigger_spiritual_4',"
BC,I see myself as resilient and able to handle challenges.,trigger_interpersonal_6,Ego Strength and Resilience,"'I see myself as resilient and able to handle challenges.': 'trigger_interpersonal_6',"
BD,"When things go wrong, it’s usually someone else’s fault.",trigger_interpersonal_7,Ego Strength and Resilience,"'When things go wrong, it’s usually someone else’s fault.': 'trigger_interpersonal_7',"
BE,Challenges cause me to feel overwhelmed and stuck.,trigger_interpersonal_8,Ego Strength and Resilience,"'Challenges cause me to feel overwhelmed and stuck.': 'trigger_interpersonal_8',"
BF,How strongly do you believe in meaningful coincidences?,trigger_interpersonal_9,Belief Strength Ranking,"'How strongly do you believe in meaningful coincidences?': 'trigger_interpersonal_9',"
BG,"Do you believe in universal energy such as chakras, kundalini, etc?",trigger_spiritual_5,Belief Strength Ranking,"'Do you believe in universal energy such as chakras, kundalini, etc?': 'trigger_spiritual_5',"
BH,How strongly do you believe in a God or divine being?,trigger_spiritual_6,Belief Strength Ranking,"'How strongly do you believe in a God or divine being?': 'trigger_spiritual_6',"
BI,"Do you believe in souls, spirits, or unseen beings?",trigger_spiritual_7,Belief Strength Ranking,"'Do you believe in souls, spirits, or unseen beings?': 'trigger_spiritual_7',"
BJ,How strongly do you believe in karma or moral causation? ,trigger_spiritual_8,Belief Strength Ranking,"'How strongly do you believe in karma or moral causation? ': 'trigger_spiritual_8',"
BK,"During powerful experiences, my awareness of myself fades into the background.",trigger_phys_10,Physical Sensations,"'During powerful experiences, my awareness of myself fades into the background.': 'trigger_phys_10',"
BL,"During powerful moments, I have the physical sensation that my body is shrinking or becoming very small in relation to the world around me.",trigger_phys_11,Physical Sensations,"'During powerful moments, I have the physical sensation that my body is shrinking or becoming very small in relation to the world around me.': 'trigger_phys_11',"
BM,"During powerful moments, I feel that time is slowing down or speeding up.",trigger_phys_12,Physical Sensations,"'During powerful moments, I feel that time is slowing down or speeding up.': 'trigger_phys_12',"
BN,Emotional or inspiring experiences give me chills or goosebumps.,trigger_phys_13,Physical Sensations,"'Emotional or inspiring experiences give me chills or goosebumps.': 'trigger_phys_13',"
BO,"I can give myself chills or goosebumps with no external stimuli (such as music, cold temperature, or emotional videos).",chills_ability,Chills Questions,"'I can give myself chills or goosebumps with no external stimuli (such as music, cold temperature, or emotional videos).': 'chills_ability',"
BP,How often are you able to produce chills without external stimuli?,chills_freq,Chills Questions,"'How often are you able to produce chills without external stimuli?': 'chills_freq',"
