Timestamp,Please select your age range,Which best describes the environment you spent the most time growing up in?,How would you describe your worldview or spiritual orientation?,Which category best describes your primary daily activity? ,Do you regularly engage in any of the following practices?,"Including yourself, how many people live in your household?",What is your assigned gender at birth? ,What is your current gender identity? ,What is your highest completed degree?,What is your current income bracket?,What describes your socioeconomic status growing up? ,What college do you attend?,I regularly notice beauty around me.,I stay open to someone’s opinion even when it differs from mine.,I have a lot of intellectual curiosity. ,"I am drawn to experiences, ideas, and sensations that are unfamiliar or challenge my current way of seeing the world.",I prefer routine and spending time with people who think similarly to myself.,Do people ever describe you as lost in thought?,"I can become deeply absorbed in nature, music, art, beliefs, or ideas.",I sometimes become so involved in a piece of music or art that I lose all sense of time and my surroundings.,I tend to have intense or vivid dreams.,My dreams tend to be more associated with nightmares or stress.,I can remember my dreams when I wake up in the morning.,I do not become absorbed in stimuli or surroundings.,"To confirm you are paying attention, please select number 3 for this question. ",Have you ever been moved in a way that evokes strong emotional memories?,"Have you ever been moved to tears, emotionally touched, stirred or experienced something that warmed your heart?",Do you experience moments that make you feel deeply connected with nature?,Do you experience moments that make you feel deeply connected with the people around you?,I do not feel deep connections to the world or people around me.,I enjoy volunteering or serving others in my community.,"I am easily and often moved by the beauty, humor, and goodness I encounter in everyday life.","I do not often feel joy, contentment, amusement, compassion, and pride.",I feel part of a much larger whole.,I do not often experience powerful feelings connected to the greater world around me.,"I notice physical sensations in my body when I experience emotions (e.g., tension, breathing/heart rate changes, etc.)","Even when I feel intense physical sensations, I feel that my body is in a safe and trustworthy place.",I listen to my body for information to help me understand how I am truly feeling about a situation.,I notice how my breathing becomes free and easy when I feel comfortable.,My emotions do not trigger physical responses.,I take stock in my thoughts and emotions without getting overwhelmed by them.,I am aware of my body sensations and breathing in response to situations and things happening around me.,"When stressed, I focus on calming or seek awe experiences for relief.",I listen to my body during stressful or triggering situations before responding.,I believe in trusting my hunches.,How frequently do you experience Deja Vu? ,I prefer concrete facts over abstract theories.,I have had the experience of suddenly knowing something to be true without being able to explain how I gained that information. ,I tend to notice coincidence or synchronicities often. ,"When I meditate, pray, or engage in spiritual or religious practices, I feel deeply connected to something or someone greater than myself.",I believe life has a deeper meaning or purpose.,I consider myself highly engaged with routine spiritual practices.,I do not consider myself religious or spiritual.,I see myself as resilient and able to handle challenges.,"When things go wrong, it’s usually someone else’s fault.",Challenges cause me to feel overwhelmed and stuck.,How strongly do you believe in meaningful coincidences?,"Do you believe in universal energy such as chakras, kundalini, etc?",How strongly do you believe in a God or divine being?,"Do you believe in souls, spirits, or unseen beings?",How strongly do you believe in karma or moral causation? ,"During powerful experiences, my awareness of myself fades into the background.","During powerful moments, I have the physical sensation that my body is shrinking or becoming very small in relation to the world around me.","During powerful moments, I feel that time is slowing down or speeding up.",Emotional or inspiring experiences give me chills or goosebumps.,"I can give myself chills or goosebumps with no external stimuli (such as music, cold temperature, or emotional videos).",How often are you able to produce chills without external stimuli?
4/9/2026 12:27:44,19-21,Suburban,Atheist/Naturalist,Studying,Yoga/Martial Arts,2,Male,Male,AA,0-50K,Upper middle class,University of Washington,4,4,4,4,4,2,2,1,5,5,5,4,3,2,1,2,1,4,2,1,4,1,5,2,5,1,5,4,3,4,1,1,1,1,5,1,5,1,1,1,5,4,1,2,Not at all,Not at all,Not at all,Not at all,Not at all,1,1,1,2,No,Rarely
4/9/2026 12:28:08,17-18,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Regular Immersion in Nature",6+,Female,Female,High school Diploma,0-50K,Middle class,University of Washington,4,4,4,3,3,2,4,2,3,2,3,2,3,4,5,4,4,2,4,3,2,4,2,4,3,2,3,4,3,3,4,4,4,2,4,4,4,4,5,4,1,5,3,4,Moderate belief,Not at all,Very strong belief,Moderate belief,Not at all,3,3,4,4,No,Never
4/9/2026 12:28:51,25-30,Suburban,Atheist/Naturalist,Studying,None,1,Male,Other,High school Diploma,0-50K,Middle class,University of Washington,4,4,4,3,4,5,4,3,3,4,4,2,3,4,4,5,3,2,1,3,2,2,2,4,4,2,5,4,5,3,2,2,4,2,5,3,3,4,4,2,4,5,2,3,Not at all,Not at all,Not at all,Not at all,Slight belief,2,2,1,4,Yes,Sometimes
4/9/2026 12:29:44,25-30,Suburban,Atheist/Naturalist,Work,"Meditation/Mindfulness, Regular Immersion in Nature",3-5,Male,Male,Undergraduate,0-50K,Upper middle class,University of Washington,4,4,3,3,4,5,3,2,4,2,4,2,3,4,2,5,4,1,3,4,2,4,2,4,3,3,3,5,5,2,3,3,4,2,3,4,4,1,3,1,5,4,1,3,Moderate belief,Not at all,Not at all,Not at all,Slight belief,3,2,2,4,Yes,Sometimes
4/9/2026 12:31:36,22-24,Suburban,Agnostic/Secular,Studying,"Meditation/Mindfulness, Artistic Creation",3-5,Female,Female,AA,70-90K,Low middle class,University of Washington,4,4,4,5,4,2,5,4,2,1,2,2,3,5,5,3,4,1,5,4,2,4,2,3,4,4,4,2,4,4,4,4,5,2,4,3,2,2,4,2,4,4,1,2,Strong belief,Slight belief,Slight belief,Moderate belief,Very strong belief,2,4,2,2,No,Rarely
4/9/2026 12:42:53,19-21,Highly urban,Other,Studying,None,3-5,Male,Male,High school Diploma,0-50K,Upper middle class,University of Washington,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Moderate belief,Moderate belief,Moderate belief,Moderate belief,Moderate belief,3,3,3,3,Yes,Sometimes
4/9/2026 13:05:00,19-21,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Regular Immersion in Nature",6+,,Female,High school Diploma,0-50K,Upper middle class,University of Washington,4,4,4,3,4,2,4,3,3,3,4,2,3,4,3,3,5,1,4,5,1,5,1,4,5,4,4,4,2,4,4,4,4,4,4,4,5,5,5,5,1,5,4,3,Very strong belief,Not at all,Very strong belief,Very strong belief,Moderate belief,4,5,5,5,Yes,Sometimes
4/9/2026 13:34:22,19-21,Suburban,Religious/Theistic,Studying,None,3-5,Male,Male,High school Diploma,100K+,Upper middle class,University of Washington,4,5,5,5,4,2,4,3,2,4,2,2,3,3,4,3,3,3,4,4,2,3,3,2,4,1,4,1,3,2,2,1,2,1,4,2,2,5,5,4,1,3,1,3,Slight belief,Not at all,Very strong belief,Strong belief,Not at all,4,3,5,4,Yes,Rarely
4/9/2026 18:55:51,31-37,Highly urban,Spiritual but not Religious,Studying,"Meditation/Mindfulness, Breath work",3-5,Female,Female,Undergraduate,0-50K,Middle class,University of Washington,2,3,4,3,4,2,3,1,2,2,2,4,3,4,5,2,2,4,4,4,3,2,4,4,4,4,4,3,2,3,4,4,4,2,5,1,1,4,4,2,4,4,1,3,Slight belief,Not at all,Slight belief,Not at all,Strong belief,2,2,2,4,No,Never
4/9/2026 18:56:31,31-37,Rural/Remote,Spiritual but not Religious,Work,"Meditation/Mindfulness, Regular Immersion in Nature",3-5,Female,Female,Undergraduate,100K+,Poverty,University of Washington,1,5,5,5,1,3,5,3,5,1,5,2,3,4,5,5,5,1,5,4,1,4,1,5,4,5,5,1,3,5,3,4,5,4,2,5,5,5,5,3,1,5,1,3,Strong belief,Very strong belief,Strong belief,Very strong belief,Very strong belief,5,5,5,5,No,Rarely
4/9/2026 20:31:53,22-24,Suburban,Agnostic/Secular,Work,None,3-5,Female,Female,Graduate,50-70K,Low middle class,University of Washington,3,4,4,4,3,3,2,2,5,3,5,2,3,4,5,1,5,2,4,4,1,5,5,5,3,2,5,1,2,2,4,2,4,5,4,1,2,2,3,1,4,4,3,3,Moderate belief,Slight belief,Slight belief,Slight belief,Very strong belief,1,1,4,3,Not Sure,Sometimes
4/9/2026 21:00:26,19-21,Suburban,Religious/Theistic,Social Events,Regular Immersion in Nature,3-5,Male,Male,Undergraduate,,,University of Washington,5,4,3,4,5,3,5,5,1,2,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4/9/2026 21:19:33,31-37,Suburban,Atheist/Naturalist,Work,None,2,Male,Male,Undergraduate,100K+,Middle class,University of Washington,2,2,4,2,4,3,1,1,5,2,4,2,3,4,3,2,3,2,4,3,2,3,3,5,2,3,4,1,1,2,2,2,4,3,5,2,5,1,1,1,5,5,2,2,Slight belief,Not at all,Not at all,Slight belief,Slight belief,1,1,1,2,Not Sure,Sometimes
4/9/2026 21:21:19,25-30,Suburban,Agnostic/Secular,Work,"Breath work, Artistic Creation",3-5,Female,Female,Graduate,0-50K,Middle class,"Western Washington, Southern New Hampshire, and Western Governors University",4,3,4,3,3,3,5,5,3,3,2,1,3,5,3,4,3,2,3,5,1,3,1,5,3,4,5,1,3,4,5,4,4,2,4,2,3,2,3,1,5,4,2,4,Moderate belief,Not at all,Not at all,Not at all,Not at all,3,3,4,4,Yes,Rarely
4/10/2026 12:52:39,25-30,Near large bodies of water/Nature,Spiritual but not Religious,Extracurricular Activities,None,1,Male,Male,Undergraduate,50-70K,Upper middle class,University of Washington,4,5,3,3,3,2,3,3,3,1,3,2,3,4,4,2,4,2,3,4,1,3,2,5,4,4,5,2,3,4,2,3,4,3,4,3,3,2,3,1,2,4,2,2,Moderate belief,Slight belief,Slight belief,Slight belief,Moderate belief,3,4,3,5,Yes,Sometimes
4/10/2026 13:11:43,19-21,Suburban,Atheist/Naturalist,Social Events,Artistic Creation,3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,2,4,5,5,2,5,5,5,5,2,5,1,3,4,4,3,5,1,3,4,4,3,3,4,3,2,2,2,2,2,2,1,3,4,5,2,2,1,3,1,5,4,2,3,Moderate belief,Not at all,Not at all,Not at all,Not at all,3,3,3,2,Not Sure,Sometimes
4/11/2026 21:47:23,22-24,Suburban,Agnostic/Secular,Work,Artistic Creation,1,Female,Female,Undergraduate,70-90K,Middle class,University of Washington,3,4,3,3,4,5,4,,2,1,4,2,3,4,4,4,4,2,4,3,2,3,3,4,4,4,4,2,3,3,2,4,4,4,5,4,4,1,2,1,5,4,2,4,Not at all,Not at all,Not at all,Not at all,Not at all,3,3,2,2,Not Sure,Never
4/11/2026 22:11:29,25-30,Suburban,Agnostic/Secular,Work,Yoga/Martial Arts,3-5,Female,Female,Graduate,0-50K,Middle class,University of Washington,5,4,5,4,2,4,4,2,4,4,3,2,3,3,4,2,4,2,5,3,2,4,3,4,3,2,3,1,3,4,1,4,2,3,4,2,4,4,2,1,5,4,1,3,Slight belief,Not at all,Slight belief,Slight belief,Slight belief,3,3,2,4,Yes,Sometimes
4/12/2026 12:10:10,38+,Suburban,Religious/Theistic,Work,None,3-5,Female,Female,Graduate,50-70K,Middle class,University of Washington,5,4,3,4,3,1,2,1,2,2,3,5,3,4,4,4,4,2,3,4,1,5,1,4,5,4,4,4,4,3,2,2,4,2,3,4,3,4,5,5,1,4,2,4,Moderate belief,Not at all,Strong belief,Strong belief,Not at all,1,1,1,5,Yes,Sometimes
4/12/2026 14:41:27,31-37,Suburban,Agnostic/Secular,Work,"Meditation/Mindfulness, Breath work",2,Female,Female,Undergraduate,0-50K,Poverty,University of Washington,4,4,4,4,3,5,5,2,5,3,5,2,3,5,5,3,3,4,5,4,4,2,4,2,1,1,2,1,2,2,2,3,3,5,5,1,4,1,2,1,5,1,1,5,Moderate belief,Slight belief,Slight belief,Moderate belief,Moderate belief,1,1,3,5,Yes,Sometimes
4/13/2026 7:57:55,25-30,Suburban,Atheist/Naturalist,Work,None,3-5,Female,Female,Undergraduate,0-50K,Middle class,University of Washington,2,4,4,4,5,2,2,1,2,2,3,1,3,4,5,3,4,2,3,4,1,5,2,5,2,3,2,1,1,4,3,2,3,2,3,4,4,2,5,2,3,4,1,3,Moderate belief,Slight belief,Moderate belief,Moderate belief,Moderate belief,1,1,1,4,Yes,Often
4/14/2026 12:15:34,22-24,Highly urban,Religious/Theistic,Work,"Breath work, Artistic Creation, Regular Immersion in Nature",6+,Male,Male,Undergraduate,0-50K,Low middle class,UOregon,4,3,4,3,4,4,5,4,2,1,3,4,3,4,3,4,5,4,5,4,1,3,2,5,5,3,4,1,4,5,4,2,4,3,3,5,3,4,5,2,3,5,1,2,Strong belief,Moderate belief,Strong belief,Very strong belief,Moderate belief,2,1,4,4,No,Rarely
4/14/2026 17:25:05,22-24,Suburban,Spiritual but not Religious,Extracurricular Activities,"Meditation/Mindfulness, Yoga/Martial Arts, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,Graduate,0-50K,Middle class,University of Southern California,4,4,5,4,2,3,5,4,3,2,3,1,3,5,5,5,5,5,5,5,5,5,1,4,5,3,5,2,5,4,5,3,5,3,1,5,5,5,5,2,1,5,1,2,Very strong belief,Moderate belief,Strong belief,Very strong belief,Strong belief,4,4,4,5,No,Sometimes
4/14/2026 17:36:09,38+,Near large bodies of water/Nature,Atheist/Naturalist,Work,"Artistic Creation, Regular Immersion in Nature",1,Female,Female,Graduate,50-70K,Low middle class,Other,5,5,5,5,2,4,5,4,5,3,5,4,3,5,5,4,4,2,3,4,1,4,2,5,2,5,3,1,4,5,2,5,4,3,4,4,3,2,2,2,4,4,3,3,Slight belief,Not at all,Not at all,Not at all,Not at all,4,2,5,5,Not Sure,Sometimes
4/14/2026 19:52:06,31-37,Suburban,Religious/Theistic,Work,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts, Artistic Creation",1,Male,Male,Undergraduate,0-50K,Upper middle class,Dartmouth College,3,4,5,4,4,3,5,4,4,2,4,3,3,5,5,3,4,2,5,4,2,4,2,4,4,3,1,2,4,5,1,4,3,2,2,5,5,5,5,5,1,5,1,1,Moderate belief,Moderate belief,Very strong belief,Very strong belief,Moderate belief,5,4,4,5,Not Sure,Sometimes
4/14/2026 21:31:28,38+,Suburban,Agnostic/Secular,Work,Meditation/Mindfulness,2,Male,Male,Graduate,70-90K,Upper middle class,University of Chicago,4,4,5,4,2,3,5,4,2,4,2,2,3,4,4,2,4,1,3,2,2,3,3,4,2,2,2,2,3,3,3,2,3,2,4,1,2,4,5,2,4,3,1,4,Slight belief,Not at all,Not at all,Slight belief,Slight belief,5,2,4,4,No,Never
4/15/2026 6:52:16,25-30,Suburban,Spiritual but not Religious,Studying,Yoga/Martial Arts,,Female,Female,Undergraduate,0-50K,Middle class,Ohio State University,5,4,3,4,2,1,3,2,4,4,4,2,3,4,5,4,5,1,3,4,1,3,3,3,4,4,4,3,4,4,3,3,4,4,3,4,4,2,2,2,3,5,3,2,Strong belief,Moderate belief,Moderate belief,Slight belief,Very strong belief,3,2,4,5,No,Never
4/15/2026 8:43:46,31-37,Suburban,Spiritual but not Religious,Work,"Meditation/Mindfulness, Regular Immersion in Nature",2,Male,Male,Graduate,70-90K,Upper middle class,The College of William and Mary,4,3,5,4,3,5,4,4,4,2,5,2,3,5,5,5,3,2,2,3,1,5,2,4,2,3,4,1,3,3,4,2,3,1,2,2,1,4,3,3,3,3,2,3,Not at all,Not at all,Slight belief,Not at all,Not at all,4,3,4,3,Not Sure,Rarely
4/15/2026 9:22:53,25-30,Highly urban,Spiritual but not Religious,Work,"Meditation/Mindfulness, Breath work",1,Male,Male,Undergraduate,70-90K,Middle class,none,4,5,5,4,4,5,4,2,2,2,3,3,3,4,4,3,3,1,4,4,2,4,3,4,5,3,4,2,4,2,4,2,4,3,2,3,4,2,5,3,1,5,1,2,Very strong belief,Strong belief,Moderate belief,Moderate belief,Strong belief,5,4,3,5,No,Rarely
4/15/2026 10:46:52,22-24,Suburban,Religious/Theistic,Work,"Breath work, Regular Immersion in Nature",3-5,Male,Male,Undergraduate,0-50K,Upper middle class,,4,4,4,3,2,3,3,3,1,2,1,2,3,4,3,3,4,2,4,3,1,4,2,4,4,3,2,3,4,4,3,3,3,2,3,4,3,3,4,2,2,5,2,2,Strong belief,Moderate belief,Strong belief,Slight belief,Strong belief,4,2,4,3,Not Sure,
4/15/2026 11:56:33,25-30,Suburban,Religious/Theistic,Work,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts",2,Male,Male,Graduate,100K+,Upper middle class,Yeshiva University,4,5,5,5,3,4,4,3,3,2,2,2,3,3,3,3,3,2,3,4,2,3,2,5,3,4,5,2,3,4,4,3,3,3,3,5,4,5,5,5,1,4,3,3,Very strong belief,Moderate belief,Very strong belief,Strong belief,Strong belief,4,2,3,4,No,Rarely
4/16/2026 13:50:48,25-30,Suburban,Agnostic/Secular,Work,Meditation/Mindfulness,2,Male,Male,Undergraduate,70-90K,Low middle class,University of Minnesota,3,4,5,4,2,2,5,5,4,2,3,1,3,3,4,3,3,2,2,4,1,5,1,2,5,4,2,3,4,4,5,1,4,3,3,4,2,5,5,4,3,5,2,3,Slight belief,Strong belief,Slight belief,Slight belief,Slight belief,5,4,5,1,No,Never
4/16/2026 18:07:42,38+,Suburban,Agnostic/Secular,Work,"Yoga/Martial Arts, Regular Immersion in Nature",2,Male,Male,Graduate,70-90K,Poverty,Pomona College,5,5,5,5,4,3,5,5,5,4,2,1,3,4,4,4,4,2,1,4,1,3,1,4,3,2,3,3,4,3,3,3,4,2,2,2,3,3,3,1,5,4,2,4,Moderate belief,Moderate belief,Slight belief,Moderate belief,Slight belief,4,4,4,4,Yes,Sometimes
4/17/2026 18:57:53,19-21,Suburban,Religious/Theistic,Work,None,3-5,Male,Male,High school Diploma,0-50K,Middle class,Seattle unversity ,3,4,4,3,4,2,3,4,2,2,5,2,3,3,4,4,2,3,3,3,3,4,3,2,3,4,1,4,3,3,3,4,4,5,3,3,4,5,5,4,1,1,2,1,Moderate belief,Moderate belief,Moderate belief,Very strong belief,Slight belief,4,4,3,3,Yes,Sometimes
4/17/2026 19:06:05,19-21,Highly urban,Other,Extracurricular Activities,"Breath work, Yoga/Martial Arts",3-5,Female,Female,High school Diploma,0-50K,Low middle class,University of Washington,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Moderate belief,Slight belief,Moderate belief,Moderate belief,Moderate belief,3,3,3,3,Not Sure,Rarely
4/17/2026 19:07:59,19-21,Rural/Remote,Spiritual but not Religious,Studying,None,3-5,Female,Female,AA,0-50K,Middle class,wcc,4,4,4,4,4,4,4,2,4,3,3,2,3,4,4,4,4,2,4,4,1,4,2,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,1,3,4,2,4,Moderate belief,Not at all,Slight belief,Moderate belief,Slight belief,3,3,4,4,Yes,Sometimes
4/17/2026 19:08:53,25-30,Near large bodies of water/Nature,Atheist/Naturalist,Work,Breath work,1,Male,Male,Undergraduate,70-90K,Low middle class,Seattle University,4,4,4,4,4,1,4,3,3,3,3,3,3,4,3,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Moderate belief,Moderate belief,Moderate belief,Moderate belief,Moderate belief,3,3,3,3,Yes,Sometimes
4/17/2026 19:09:12,19-21,Suburban,Other,Extracurricular Activities,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts, Regular Immersion in Nature",3-5,Male,Male,AA,100K+,Middle class,,4,5,4,4,5,3,4,5,4,5,5,5,3,1,3,4,5,1,5,5,3,5,3,5,3,4,5,3,5,5,4,5,4,2,5,4,4,4,3,2,5,4,2,3,Moderate belief,Moderate belief,Slight belief,Slight belief,Moderate belief,3,4,5,4,Not Sure,Rarely
4/17/2026 19:09:36,19-21,Suburban,Religious/Theistic,Student Clubs,None,3-5,Female,Female,AA,0-50K,Middle class,University of Washington,4,5,4,4,4,2,3,2,4,3,2,3,3,5,5,4,5,1,4,5,2,4,2,5,4,4,4,2,3,4,4,3,5,4,3,4,5,3,5,4,1,5,2,2,Strong belief,Slight belief,Strong belief,Strong belief,Moderate belief,3,2,4,4,Not Sure,Rarely
4/17/2026 19:10:18,19-21,Rural/Remote,Religious/Theistic,Student Clubs,None,3-5,Male,Male,High school Diploma,0-50K,Low middle class,University of Washington,3,3,4,3,4,5,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Moderate belief,Moderate belief,Moderate belief,Moderate belief,Moderate belief,3,3,3,3,Not Sure,Rarely
