timestamp,age_range,env_growth,worldview,activity_primary,regular_practices,household_size,gender_assigned,gender_identity,edu_level,income_bracket,socioec_status,college_name,awe_scale_1,awe_scale_2,awe_scale_3,awe_scale_4,awe_scale_5,awe_scale_6,awe_scale_7,awe_scale_8,awe_scale_9,awe_scale_10,awe_scale_11,awe_scale_12,control,trigger_moved_1,trigger_moved_2,trigger_moved_3,trigger_moved_4,trigger_moved_5,trigger_moved_6,trigger_moved_7,trigger_moved_8,trigger_moved_9,trigger_moved_10,trigger_phys_1,trigger_phys_2,trigger_phys_3,trigger_phys_4,trigger_phys_5,trigger_phys_6,trigger_phys_7,trigger_phys_8,trigger_phys_9,trigger_interpersonal_1,trigger_interpersonal_2,trigger_interpersonal_3,trigger_interpersonal_4,trigger_interpersonal_5,trigger_spiritual_1,trigger_spiritual_2,trigger_spiritual_3,trigger_spiritual_4,trigger_interpersonal_6,trigger_interpersonal_7,trigger_interpersonal_8,trigger_interpersonal_9,trigger_spiritual_5,trigger_spiritual_6,trigger_spiritual_7,trigger_spiritual_8,trigger_phys_10,trigger_phys_11,trigger_phys_12,trigger_phys_13,chills_ability,chills_freq,is_uw_student,college_type
4/10/2026 12:52:39,25-30,Near large bodies of water/Nature,Spiritual but not Religious,Extracurricular Activities,,<=2,Male,Male,Undergraduate,50-70K,Upper middle class,University of Washington,4,5,3,3,3,2,3,3,3,1,3,2,3,4,4,2,4,2,3,4,1,3,2,5,4,4,5,2,3,4,2,3,4,3,4,3,3,2,3,1,2,4,2,2,3,2,2,2,3,3,4,3,5,1,3,1,WA State Public
4/10/2026 13:11:43,19-21,Suburban,Atheist/Naturalist,Social Events,Artistic Creation,3-5,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,2,4,5,5,2,5,5,5,5,2,5,1,3,4,4,3,5,1,3,4,4,3,3,4,3,2,2,2,2,2,2,1,3,4,5,2,2,1,3,1,5,4,2,3,3,1,1,1,1,3,3,3,2,0,3,1,WA State Public
4/11/2026 21:47:23,22-24,Suburban,Agnostic/Secular,Work,Artistic Creation,<=2,Female,Female,Undergraduate,70-90K,Middle class,University of Washington,3,4,3,3,4,5,4,,2,1,4,2,3,4,4,4,4,2,4,3,2,3,3,4,4,4,4,2,3,3,2,4,4,4,5,4,4,1,2,1,5,4,2,4,1,1,1,1,1,3,3,2,2,0,1,1,WA State Public
4/11/2026 22:11:29,25-30,Suburban,Agnostic/Secular,Work,Yoga/Martial Arts,3-5,Female,Female,Graduate,0-50K,Middle class,University of Washington,5,4,5,4,2,4,4,2,4,4,3,2,3,3,4,2,4,2,5,3,2,4,3,4,3,2,3,1,3,4,1,4,2,3,4,2,4,4,2,1,5,4,1,3,2,1,2,2,2,3,3,2,4,1,3,1,WA State Public
4/12/2026 12:10:10,38+,Suburban,Religious/Theistic,Work,,3-5,Female,Female,Graduate,50-70K,Middle class,University of Washington,5,4,3,4,3,1,2,1,2,2,3,5,3,4,4,4,4,2,3,4,1,5,1,4,5,4,4,4,4,3,2,2,4,2,3,4,3,4,5,5,1,4,2,4,3,1,4,4,1,1,1,1,5,1,3,1,WA State Public
4/12/2026 14:41:27,31-37,Suburban,Agnostic/Secular,Work,"Meditation/Mindfulness, Breath work",<=2,Female,Female,Undergraduate,0-50K,Poverty,University of Washington,4,4,4,4,3,5,5,2,5,3,5,2,3,5,5,3,3,4,5,4,4,2,4,2,1,1,2,1,2,2,2,3,3,5,5,1,4,1,2,1,5,1,1,5,3,2,2,3,3,1,1,3,5,1,3,1,WA State Public
4/13/2026 7:57:55,25-30,Suburban,Atheist/Naturalist,Work,,3-5,Female,Female,Undergraduate,0-50K,Middle class,University of Washington,2,4,4,4,5,2,2,1,2,2,3,1,3,4,5,3,4,2,3,4,1,5,2,5,2,3,2,1,1,4,3,2,3,2,3,4,4,2,5,2,3,4,1,3,3,2,3,3,3,1,1,1,4,1,4,1,WA State Public
4/14/2026 12:15:34,22-24,Highly urban,Religious/Theistic,Work,"Breath work, Artistic Creation, Regular Immersion in Nature",6+,Male,Male,Undergraduate,0-50K,Low middle class,University of Oregon,4,3,4,3,4,4,5,4,2,1,3,4,3,4,3,4,5,4,5,4,1,3,2,5,5,3,4,1,4,5,4,2,4,3,3,5,3,4,5,2,3,5,1,2,4,3,4,5,3,2,1,4,4,0,2,0,Out-of-State Public
4/14/2026 17:25:05,22-24,Suburban,Spiritual but not Religious,Extracurricular Activities,"Meditation/Mindfulness, Yoga/Martial Arts, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,Graduate,0-50K,Middle class,University of Southern California,4,4,5,4,2,3,5,4,3,2,3,1,3,5,5,5,5,5,5,5,5,5,1,4,5,3,5,2,5,4,5,3,5,3,1,5,5,5,5,2,1,5,1,2,5,3,4,5,4,4,4,4,5,0,3,0,Out-of-State Private
4/14/2026 17:36:09,38+,Near large bodies of water/Nature,Atheist/Naturalist,Work,"Artistic Creation, Regular Immersion in Nature",<=2,Female,Female,Graduate,50-70K,Low middle class,Other,5,5,5,5,2,4,5,4,5,3,5,4,3,5,5,4,4,2,3,4,1,4,2,5,2,5,3,1,4,5,2,5,4,3,4,4,3,2,2,2,4,4,3,3,2,1,1,1,1,4,2,5,5,0,3,0,Other/Multiple
4/14/2026 19:52:06,31-37,Suburban,Religious/Theistic,Work,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts, Artistic Creation",<=2,Male,Male,Undergraduate,0-50K,Upper middle class,Dartmouth College,3,4,5,4,4,3,5,4,4,2,4,3,3,5,5,3,4,2,5,4,2,4,2,4,4,3,1,2,4,5,1,4,3,2,2,5,5,5,5,5,1,5,1,1,3,3,5,5,3,5,4,4,5,0,3,0,Out-of-State Private
4/14/2026 21:31:28,38+,Suburban,Agnostic/Secular,Work,Meditation/Mindfulness,<=2,Male,Male,Graduate,70-90K,Upper middle class,University of Chicago,4,4,5,4,2,3,5,4,2,4,2,2,3,4,4,2,4,1,3,2,2,3,3,4,2,2,2,2,3,3,3,2,3,2,4,1,2,4,5,2,4,3,1,4,2,1,1,2,2,5,2,4,4,0,1,0,Out-of-State Private
4/15/2026 6:52:16,25-30,Suburban,Spiritual but not Religious,Studying,Yoga/Martial Arts,,Female,Female,Undergraduate,0-50K,Middle class,Ohio State University,5,4,3,4,2,1,3,2,4,4,4,2,3,4,5,4,5,1,3,4,1,3,3,3,4,4,4,3,4,4,3,3,4,4,3,4,4,2,2,2,3,5,3,2,4,3,3,2,5,3,2,4,5,0,1,0,Out-of-State Public
4/15/2026 8:43:46,31-37,Suburban,Spiritual but not Religious,Work,"Meditation/Mindfulness, Regular Immersion in Nature",<=2,Male,Male,Graduate,70-90K,Upper middle class,The College of William and Mary,4,3,5,4,3,5,4,4,4,2,5,2,3,5,5,5,3,2,2,3,1,5,2,4,2,3,4,1,3,3,4,2,3,1,2,2,1,4,3,3,3,3,2,3,1,1,2,1,1,4,3,4,3,0,2,0,Out-of-State Public
4/15/2026 9:22:53,25-30,Highly urban,Spiritual but not Religious,Work,"Meditation/Mindfulness, Breath work",<=2,Male,Male,Undergraduate,70-90K,Middle class,none,4,5,5,4,4,5,4,2,2,2,3,3,3,4,4,3,3,1,4,4,2,4,3,4,5,3,4,2,4,2,4,2,4,3,2,3,4,2,5,3,1,5,1,2,5,4,3,3,4,5,4,3,5,0,2,0,Other/Multiple
4/15/2026 10:46:52,22-24,Suburban,Religious/Theistic,Work,"Breath work, Regular Immersion in Nature",3-5,Male,Male,Undergraduate,0-50K,Upper middle class,,4,4,4,3,2,3,3,3,1,2,1,2,3,4,3,3,4,2,4,3,1,4,2,4,4,3,2,3,4,4,3,3,3,2,3,4,3,3,4,2,2,5,2,2,4,3,4,2,4,4,2,4,3,0,,0,Other/Multiple
4/15/2026 11:56:33,25-30,Suburban,Religious/Theistic,Work,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts",<=2,Male,Male,Graduate,100K+,Upper middle class,Yeshiva University,4,5,5,5,3,4,4,3,3,2,2,2,3,3,3,3,3,2,3,4,2,3,2,5,3,4,5,2,3,4,4,3,3,3,3,5,4,5,5,5,1,4,3,3,5,3,5,4,4,4,2,3,4,0,2,0,Out-of-State Private
4/16/2026 13:50:48,25-30,Suburban,Agnostic/Secular,Work,Meditation/Mindfulness,<=2,Male,Male,Undergraduate,70-90K,Low middle class,University of Minnesota,3,4,5,4,2,2,5,5,4,2,3,1,3,3,4,3,3,2,2,4,1,5,1,2,5,4,2,3,4,4,5,1,4,3,3,4,2,5,5,4,3,5,2,3,2,4,2,2,2,5,4,5,1,0,1,0,Out-of-State Public
4/16/2026 18:07:42,38+,Suburban,Agnostic/Secular,Work,"Yoga/Martial Arts, Regular Immersion in Nature",<=2,Male,Male,Graduate,70-90K,Poverty,Pomona College,5,5,5,5,4,3,5,5,5,4,2,1,3,4,4,4,4,2,1,4,1,3,1,4,3,2,3,3,4,3,3,3,4,2,2,2,3,3,3,1,5,4,2,4,3,3,2,3,2,4,4,4,4,1,3,0,Out-of-State Private
4/17/2026 18:57:53,19-21,Suburban,Religious/Theistic,Work,,3-5,Male,Male,High school Diploma/GED,0-50K,Middle class,Seattle unversity ,3,4,4,3,4,2,3,4,2,2,5,2,3,3,4,4,2,3,3,3,3,4,3,2,3,4,1,4,3,3,3,4,4,5,3,3,4,5,5,4,1,1,2,1,3,3,3,5,2,4,4,3,3,1,3,0,Other/Multiple
4/17/2026 19:06:05,19-21,Highly urban,Other,Extracurricular Activities,"Breath work, Yoga/Martial Arts",3-5,Female,Female,High school Diploma/GED,0-50K,Low middle class,University of Washington,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,0,2,1,WA State Public
4/17/2026 19:07:59,19-21,Rural/Remote,Spiritual but not Religious,Studying,,3-5,Female,Female,Associates Degree,0-50K,Middle class,Whatcom Community College,4,4,4,4,4,4,4,2,4,3,3,2,3,4,4,4,4,2,4,4,1,4,2,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,1,3,4,2,4,3,1,2,3,2,3,3,4,4,1,3,0,Community College
4/17/2026 19:08:53,25-30,Near large bodies of water/Nature,Atheist/Naturalist,Work,Breath work,<=2,Male,Male,Undergraduate,70-90K,Low middle class,Seattle University,4,4,4,4,4,1,4,3,3,3,3,3,3,4,3,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,0,WA State Private
4/17/2026 19:09:12,19-21,Suburban,Other,Extracurricular Activities,"Meditation/Mindfulness, Breath work, Yoga/Martial Arts, Regular Immersion in Nature",3-5,Male,Male,Associates Degree,100K+,Middle class,,4,5,4,4,5,3,4,5,4,5,5,5,3,1,3,4,5,1,5,5,3,5,3,5,3,4,5,3,5,5,4,5,4,2,5,4,4,4,3,2,5,4,2,3,3,3,2,2,3,3,4,5,4,0,2,0,Other/Multiple
4/17/2026 19:09:36,19-21,Suburban,Religious/Theistic,Student Clubs,,3-5,Female,Female,Associates Degree,0-50K,Middle class,University of Washington,4,5,4,4,4,2,3,2,4,3,2,3,3,5,5,4,5,1,4,5,2,4,2,5,4,4,4,2,3,4,4,3,5,4,3,4,5,3,5,4,1,5,2,2,4,2,4,4,3,3,2,4,4,0,2,1,WA State Public
4/17/2026 19:10:18,19-21,Rural/Remote,Religious/Theistic,Student Clubs,,3-5,Male,Male,High school Diploma/GED,0-50K,Low middle class,University of Washington,3,3,4,3,4,5,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,1,WA State Public
4/17/2026 19:15:29,19-21,Highly urban,Religious/Theistic,Extracurricular Activities,Artistic Creation,3-5,Male,Male,Undergraduate,0-50K,Upper middle class,Seattle University,5,3,4,4,5,4,4,2,3,1,3,1,3,3,2,2,5,2,3,3,1,3,2,,4,4,1,2,2,3,3,3,4,4,3,3,3,4,4,3,2,4,2,3,4,2,5,5,4,1,1,1,4,1,2,0,WA State Private
4/17/2026 19:16:05,19-21,Suburban,Agnostic/Secular,Student Clubs,"Artistic Creation, Regular Immersion in Nature",3-5,Male,Male,Associates Degree,0-50K,Middle class,University of Washington,4,4,3,4,3,3,4,2,2,3,3,3,3,4,4,4,4,3,5,4,2,5,4,3,4,4,2,2,2,,4,3,4,4,3,2,4,3,5,2,2,4,3,3,4,4,2,3,3,2,3,3,4,0,3,1,WA State Public
4/17/2026 19:18:06,19-21,Highly urban,Atheist/Naturalist,Studying,,3-5,Female,Female,Undergraduate,0-50K,Upper middle class,University of Washington,5,4,4,3,4,3,2,3,4,3,4,1,3,4,4,3,3,2,3,3,1,4,4,5,3,2,5,1,2,3,3,2,5,4,4,5,5,2,4,3,4,4,2,4,4,3,2,3,3,4,4,4,5,0,,1,WA State Public
4/17/2026 19:18:33,19-21,Suburban,Religious/Theistic,Studying,Meditation/Mindfulness,3-5,Male,Male,High school Diploma/GED,0-50K,Low middle class,University of Washington,4,3,5,4,4,4,3,3,4,3,5,2,3,5,4,3,5,2,4,3,2,5,4,4,3,3,4,3,4,3,4,3,4,5,3,2,3,4,4,3,1,4,2,2,4,2,5,3,3,4,4,3,4,0,3,1,WA State Public
4/17/2026 19:19:13,17-18,Suburban,Spiritual but not Religious,Studying,Artistic Creation,6+,Female,Female,Associates Degree,0-50K,Low middle class,University of Washington,5,3,3,4,5,1,3,2,1,4,3,2,3,2,3,3,2,3,5,5,3,5,2,4,3,4,5,2,2,2,3,3,2,1,1,3,3,4,4,3,2,4,4,3,3,2,1,2,3,3,2,4,3,0,2,1,WA State Public
4/17/2026 19:20:22,17-18,Suburban,Agnostic/Secular,Social Events,Artistic Creation,3-5,Female,Female,Associates Degree,0-50K,Upper middle class,University of Washington,4,4,5,5,2,2,4,2,4,5,4,2,3,5,4,3,3,4,5,4,1,2,2,4,2,2,4,2,2,2,4,3,2,4,4,2,2,1,2,1,5,4,2,3,1,1,1,1,1,1,1,3,4,1,1,1,WA State Public
4/17/2026 19:25:29,19-21,Suburban,Atheist/Naturalist,Studying,,3-5,Female,Female,High school Diploma/GED,0-50K,Middle class,University of Washington,4,4,4,4,4,2,4,4,5,5,3,2,3,5,5,5,5,5,5,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,4,3,3,2,2,5,3,1,1,5,1,2,1,WA State Public
4/17/2026 19:25:41,19-21,Rural/Remote,Atheist/Naturalist,Studying,Artistic Creation,3-5,Female,Female,High school Diploma/GED,0-50K,Low middle class,University of Washington,1,4,5,4,5,5,5,5,5,3,4,2,3,5,5,4,5,1,4,5,1,5,1,2,3,5,4,4,4,4,4,4,5,5,3,5,5,1,3,1,5,5,4,2,3,2,1,3,3,2,2,3,3,1,3,1,WA State Public
4/17/2026 19:26:17,19-21,Suburban,Atheist/Naturalist,Extracurricular Activities,Meditation/Mindfulness,6+,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,5,5,5,5,4,3,5,5,5,2,5,2,3,4,5,5,5,1,4,5,1,5,1,5,5,5,5,2,3,4,5,5,4,4,3,3,5,3,5,2,3,5,2,2,4,2,2,3,2,3,3,3,3,0,3,1,WA State Public
4/17/2026 19:26:20,19-21,Suburban,Religious/Theistic,Extracurricular Activities,Meditation/Mindfulness,3-5,Female,Female,High school Diploma/GED,0-50K,Middle class,University of Washington,4,5,5,5,5,2,4,5,2,1,3,2,3,5,5,5,5,1,5,5,1,4,1,3,3,4,4,4,4,4,4,5,3,3,3,4,5,4,5,3,2,5,1,2,5,2,2,3,4,2,3,5,4,0,,1,WA State Public
4/17/2026 19:27:15,22-24,Suburban,Agnostic/Secular,Extracurricular Activities,"Meditation/Mindfulness, Breath work",3-5,Female,Female,High school Diploma/GED,0-50K,Upper middle class,University of Washington,4,4,5,4,3,3,4,3,1,3,2,3,3,4,3,4,4,2,5,4,2,4,3,2,2,2,3,3,2,2,1,2,2,2,4,2,4,2,4,1,5,4,2,4,2,1,1,1,1,3,2,4,4,0,2,1,WA State Public
4/17/2026 19:27:48,19-21,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Yoga/Martial Arts, Regular Immersion in Nature",3-5,Female,Female,Undergraduate,100K+,Upper middle class,University of Washington,4,3,4,3,4,2,3,3,1,1,2,2,3,5,5,5,5,1,5,5,5,4,3,3,4,3,5,2,5,5,4,4,5,5,4,2,5,4,5,2,1,5,2,3,3,1,4,1,2,2,2,1,3,0,1,1,WA State Public
4/17/2026 19:27:55,19-21,Rural/Remote,Religious/Theistic,Student Clubs,,6+,Female,Female,Undergraduate,0-50K,Low middle class,University of Washington,3,4,4,4,3,4,2,2,4,2,4,2,3,4,5,3,3,1,4,3,2,3,2,4,3,4,2,2,2,3,2,3,4,3,3,4,4,3,3,2,2,4,3,3,4,1,4,3,4,3,3,4,4,0,2,1,WA State Public
4/17/2026 19:29:12,19-21,Suburban,Atheist/Naturalist,Studying,,3-5,Male,Male,High school Diploma/GED,0-50K,Upper middle class,University of Washington,4,4,4,4,4,4,3,3,4,2,4,2,3,4,4,4,4,2,4,3,2,3,2,4,3,4,4,2,4,4,4,3,4,2,5,5,3,2,3,1,4,4,3,2,3,1,1,2,1,2,1,4,3,0,2,1,WA State Public
